altitude,density,temp,press
-0.5,1.285,18.25,107477
0,1.225,14.95,101325
0.5,1.167,11.75,95461
1,1.112,8.55,89876
1.5,1.058,5.25,84559
2,1.007,2.05,79501
2.5,0.957,-1.25,74691
3,0.909,-4.45,70121
3.5,0.863,-7.75,65780
4,0.819,-10.95,61660
4.5,0.777,-14.25,57752
5,0.736,-17.45,54048
5.5,0.697,-20.75,50539
6,0.66,-23.95,47217
6.5,0.624,-27.25,44075
7,0.59,-30.45,41105
7.5,0.557,-33.65,38299
8,0.526,-36.95,35651
8.5,0.496,-40.15,33154
9,0.467,-43.45,30800
9.5,0.44,-46.65,28584
10,0.414,-49.85,26499
10.5,0.389,-53.15,24540
11,0.365,-56.35,22699
11.5,0.337,-56.55,20984
12,0.312,-56.55,19399
12.5,0.288,-56.55,17933
13,0.267,-56.55,16579
13.5,0.246,-56.55,15327
14,0.228,-56.55,14170
14.5,0.211,-56.55,13100
15,0.195,-56.55,12111
15.5,0.18,-56.55,11197
16,0.166,-56.55,10352
16.5,0.154,-56.55,9571
17,0.142,-56.55,8849
17.5,0.132,-56.55,8182
18,0.122,-56.55,7565
18.5,0.112,-56.55,6994
19,0.104,-56.55,6467
19.5,0.096,-56.55,5979
20,0.089,-56.55,5529
22,0.06451,-54.55,4047
24,0.04694,-52.55,2972
26,0.03426,-50.65,2188
28,0.02508,-48.65,1616
30,0.01841,-46.65,1197
32,0.01355,-44.65,889
34,0.009887,-39.45,663.4
36,0.007257,-33.85,498.5
38,0.005366,-28.35,377.1
40,0.003995,-22.75,287.1
42,0.002995,-17.25,220
44,0.002259,-11.75,169.5
46,0.001714,-6.25,131.3
48,0.001317,-2.55,102.3
50,0.001027,-2.55,79.77
52,0.0008055,-4.15,62.21
54,0.0006389,-9.65,48.33
56,0.0005044,-15.15,37.36
58,0.0003962,-20.65,28.72
60,0.0003096,-26.15,21.96
62,0.0002407,-31.65,16.69
64,0.000186,-37.15,12.6
66,0.0001429,-42.65,9.459
68,0.0001091,-48.05,7.051
70,0.00008281,-53.55,5.22
72,0.00006236,-58.85,3.835
74,0.00004637,-62.85,2.8
76,0.0000343,-66.75,2.033
78,0.00002523,-70.65,1.467
80,0.00001845,-74.55,1.052
82,0.00001341,-78.45,0.7498
84,0.00000969,-82.35,0.5308
86,0.000006955,-86.25,0.3732
90,0.00000344,-86.283,0.18435
95,0.0000013873,-84.732,0.075775
100,0.00000056044,-78.069,0.032012
105,0.00000023325,-64.315,0.014423
110,0.000000096734,-33.15,0.0071493
115,0.000000042794,26.85,0.0040037
120,0.000000022199,86.85,0.0025366
125,0.000000012918,144.081,0.001736
130,0.0000000081494,196.118,0.0012503
135,0.0000000054647,243.439,0.00093569
140,0.0000000038313,286.477,0.00072029
145,0.0000000027805,325.626,0.0005669
150,0.0000000020752,361.242,0.00045422
