altitude,density,thickness,refractive,temp,press,p/pw
0.0,1.19E-03,1.04E+03,2.75E-04,23.26,1.01E+03,1.34E-02
1,1.08E-03,9.24E+02,2.49E-04,17.7,9.02E+02,9.10E-03
2,9.70E-04,8.22E+02,2.24E-04,14.55,8.02E+02,4.36E-03
3,8.77E-04,7.30E+02,2.02E-04,9.56,7.12E+02,2.05E-03
4,7.94E-04,6.46E+02,1.83E-04,3.5,6.30E+02,1.38E-03
5,7.18E-04,5.71E+02,1.66E-04,-3.09999999999997,5.57E+02,1.10E-03
6,6.49E-04,5.02E+02,1.50E-04,-10.07,4.90E+02,8.18E-04
7,5.85E-04,4.41E+02,1.35E-04,-17.32,4.30E+02,6.00E-04
8,5.27E-04,3.85E+02,1.22E-04,-24.74,3.75E+02,4.43E-04
9,4.73E-04,3.35E+02,1.09E-04,-32.16,3.27E+02,3.24E-04
10,4.22E-04,2.91E+02,9.74E-05,-39.39,2.83E+02,2.31E-04
11,3.75E-04,2.51E+02,8.66E-05,-46.34,2.44E+02,1.50E-04
12,3.32E-04,2.15E+02,7.66E-05,-52.87,2.10E+02,8.50E-05
13,2.92E-04,1.84E+02,6.73E-05,-58.63,1.79E+02,4.33E-05
14,2.54E-04,1.57E+02,5.86E-05,-63.23,1.53E+02,2.24E-05
15,2.19E-04,1.33E+02,5.06E-05,-66.9,1.30E+02,1.32E-05
16,1.89E-04,1.13E+02,4.36E-05,-70.07,1.10E+02,1.01E-05
17,1.61E-04,9.55E+01,3.72E-05,-71.79,9.30E+01,9.28E-06
18,1.36E-04,8.07E+01,3.13E-05,-71.33,7.86E+01,9.18E-06
19,1.14E-04,6.83E+01,2.62E-05,-69.09,6.65E+01,9.55E-06
20,9.48E-05,5.79E+01,2.19E-05,-65.8,5.64E+01,9.62E-06
21,7.94E-05,4.92E+01,1.83E-05,-62.59,4.80E+01,7.80E-06
22,6.68E-05,4.19E+01,1.54E-05,-60.18,4.09E+01,5.45E-06
23,5.65E-05,3.58E+01,1.30E-05,-58.3,3.49E+01,5.34E-06
24,4.80E-05,3.06E+01,1.11E-05,-56.63,2.98E+01,7.79E-06
25,4.07E-05,2.61E+01,9.40E-06,-54.88,2.55E+01,9.56E-06
26,3.46E-05,2.24E+01,7.99E-06,-53.08,2.19E+01,9.04E-06
27,2.95E-05,1.92E+01,6.80E-06,-51.3,1.88E+01,6.83E-06
28,2.51E-05,1.65E+01,5.79E-06,-49.57,1.61E+01,4.80E-06
29,2.14E-05,1.41E+01,4.94E-06,-47.83,1.38E+01,3.90E-06
30,1.83E-05,1.22E+01,4.22E-06,-46.03,1.19E+01,4.84E-06
32,1.34E-05,9.02E+00,3.09E-06,-41.97,8.89E+00,9.50E-06
34,9.84E-06,6.72E+00,2.27E-06,-37.48,6.66E+00,7.79E-06
36,7.27E-06,5.02E+00,1.68E-06,-33,5.01E+00,8.26E-06
38,5.40E-06,3.76E+00,1.25E-06,-28.31,3.80E+00,9.74E-06
40,4.03E-06,2.83E+00,9.31E-07,-23.43,2.89E+00,8.22E-06
42,3.03E-06,2.12E+00,6.99E-07,-18.58,2.21E+00,7.24E-06
44,2.30E-06,1.60E+00,5.30E-07,-14.21,1.71E+00,1.28E-05
46,1.76E-06,1.19E+00,4.06E-07,-10.86,1.32E+00,2.45E-05
48,1.35E-06,8.82E-01,3.11E-07,-9.03999999999996,1.02E+00,1.15E-05
50,8.52E-07,6.64E-01,1.97E-07,-6.81,6.51E-01,0.00E+00
55,4.66E-07,3.61E-01,1.08E-07,-15.96,3.44E-01,0.00E+00
60,2.53E-07,1.83E-01,5.83E-08,-30.34,1.76E-01,0.00E+00
65,1.32E-07,9.04E-02,3.05E-08,-45.22,8.65E-02,0.00E+00
70,6.57E-08,4.26E-02,1.52E-08,-57.25,4.07E-02,0.00E+00
75,3.10E-08,1.94E-02,7.15E-09,-64.49,1.85E-02,0.00E+00
80,1.41E-08,8.68E-03,3.25E-09,-68.04,8.29E-03,0.00E+00
85,6.32E-09,3.84E-03,1.46E-09,-71.03,3.67E-03,0.00E+00
90,2.83E-09,1.66E-03,6.54E-10,-76.89,1.60E-03,0.00E+00
95,1.25E-09,6.94E-04,2.88E-10,-85.6,6.73E-04,0.00E+00
100,5.18E-10,2.77E-04,1.20E-10,-87.77,2.76E-04,0.00E+00
105,2.04E-10,1.08E-04,4.71E-11,-75.96,1.16E-04,0.00E+00
110,8.17E-11,4.11E-05,1.88E-11,-49.01,5.25E-05,0.00E+00
115,3.47E-11,1.37E-05,8.01E-12,-4.63999999999999,2.67E-05,0.00E+00
120,2.10E-11,0.00E+00,4.86E-12,60.28,0.00E+00,0.00E+00
