altitude,density,thickness,refractive,temp,press,p/pw
0.0,0.00121171,1044.73,0.000280503,18.76,1020.49,0.0145399
1,0.00110668,928.757,0.000255945,11.35,906.892,0.0103318
2,0.000994136,823.744,0.000229611,8.28000000000003,804.127,0.00446223
3,0.000895722,729.383,0.00020679,3.55000000000001,711.833,0.00255844
4,0.000808841,644.231,0.000186701,-2.48999999999995,628.579,0.00182703
5,0.000730269,567.337,0.000168543,-9.15999999999997,553.42,0.00129175
6,0.000658524,497.953,0.000151971,-16.23,485.628,0.000947299
7,0.000593128,435.418,0.00013687,-23.76,424.535,0.000673194
8,0.000532869,379.158,0.000122958,-31.45,369.612,0.000449556
9,0.000477143,328.692,0.000110095,-39.18,320.35,0.000275636
10,0.00042515,283.604,0.0000980958,-46.62,276.354,0.000155311
11,0.000375757,243.576,0.0000866992,-53.06,237.303,0.0000852928
12,0.000328019,208.398,0.000075686,-57.45,203.027,0.0000498602
13,0.00028232,177.911,0.000065144,-59.25,173.291,0.0000303541
14,0.000241912,151.754,0.0000558221,-60.25,147.8,0.0000162245
15,0.000208124,129.303,0.0000480269,-62.33,125.914,0.00000987255
16,0.000179307,109.964,0.000041378,-65.07,107.076,0.00000842631
17,0.000153602,93.3403,0.000035447,-66.95,90.8989,0.00000819327
18,0.000130524,79.1567,0.000030122,-67.36,77.0883,0.0000083859
19,0.000110293,67.1401,0.0000254539,-66.58,65.3885,0.00000884885
20,0.000092947,57.0017,0.0000214511,-65,55.5278,0.00000909807
21,0.0000783219,48.4597,0.0000180762,-63.12,47.2136,0.00000883196
22,0.0000660881,41.2576,0.0000152529,-61.25,40.1942,0.00000853126
23,0.0000558708,35.1749,0.000012895,-59.38,34.2806,0.00000858099
24,0.0000473127,30.0282,0.0000109199,-57.47,29.2889,0.00000901896
25,0.0000401082,25.6674,0.00000925712,-55.52,25.0542,0.00000930192
26,0.0000340466,21.9684,0.00000785813,-53.55,21.4602,0.00000922979
27,0.0000289359,18.8265,0.0000066786,-51.61,18.4,0.00000883703
28,0.0000246215,16.1547,0.00000568283,-49.7,15.792,0.00000834625
29,0.0000209871,13.8795,0.00000484401,-47.75,13.5781,0.00000810108
30,0.0000179246,11.9382,0.00000413716,-45.73,11.7009,0.00000843483
32,0.0000131167,8.85979,0.00000302748,-41.25,8.73111,0.0000100289
34,0.00000962403,6.60454,0.00000222134,-36.28,6.54356,0.00000939604
36,0.0000071079,4.94503,0.00000164059,-31.25,4.93547,0.00000892709
38,0.00000528634,3.71535,0.00000122015,-26.42,3.74393,0.00000877766
40,0.00000395996,2.7975,0.000000914008,-21.77,2.85735,0.00000917987
42,0.00000298217,2.10841,0.000000688323,-17.34,2.18974,0.00000897274
44,0.00000226712,1.58687,0.000000523281,-13.42,1.69022,0.00000811507
46,0.00000174046,1.18966,0.00000040172,-10.33,1.31299,0.00000783034
48,0.00000133205,0.880868,0.000000307454,-8.40999999999997,1.01223,0.0000080361
50,0.000000852173,0.665009,0.000000196692,-6.81,0.651492,0
55,0.000000466214,0.360264,0.000000107608,-15.96,0.344179,0
60,0.000000252664,0.183335,0.000000058318,-30.34,0.176098,0
65,0.00000013218,0.0903297,0.0000000305087,-45.22,0.0864791,0
70,0.0000000656526,0.0425314,0.0000000151535,-57.25,0.0406865,0
75,0.0000000309207,0.0193839,0.00000000713689,-64.49,0.0185197,0
80,0.0000000140559,0.00866629,0.00000000324427,-68.04,0.00827541,0
85,0.00000000630726,0.00382984,0.0000000014558,-71.03,0.00365928,0
90,0.00000000282712,0.00166107,6.52535E-10,-76.89,0.00159265,0
95,0.00000000124678,0.000692732,2.87772E-10,-85.6,0.000671198,0
100,5.16989E-10,0.000275865,1.19328E-10,-87.77,0.0002751,0
105,2.03675E-10,0.000107349,4.70107E-11,-75.96,0.000115283,0
110,8.14116E-11,0.0000409604,1.87908E-11,-49.01,0.0000523782,0
115,3.45898E-11,0.0000136099,7.98376E-12,-4.63999999999999,0.0000266596,0
120,2.09799E-11,0,4.84242E-12,60.28,0,0
