#alt[m],rho[g/cm^3],thick[g/cm^2]
0,1.24036E-03,1.03387E+03
1,1.24023E-03,1.03374E+03
2,1.24010E-03,1.03362E+03
3,1.23997E-03,1.03350E+03
4,1.23984E-03,1.03337E+03
5,1.23971E-03,1.03325E+03
6,1.23958E-03,1.03312E+03
7,1.23945E-03,1.03300E+03
8,1.23932E-03,1.03288E+03
9,1.23919E-03,1.03275E+03
10,1.23906E-03,1.03263E+03
11,1.23893E-03,1.03250E+03
12,1.23880E-03,1.03238E+03
13,1.23867E-03,1.03226E+03
14,1.23854E-03,1.03213E+03
15,1.23841E-03,1.03201E+03
16,1.23828E-03,1.03188E+03
17,1.23815E-03,1.03176E+03
18,1.23802E-03,1.03164E+03
19,1.23789E-03,1.03151E+03
20,1.23776E-03,1.03139E+03
21,1.23763E-03,1.03127E+03
22,1.23750E-03,1.03114E+03
23,1.23737E-03,1.03102E+03
24,1.23724E-03,1.03089E+03
25,1.23711E-03,1.03077E+03
26,1.23698E-03,1.03065E+03
27,1.23685E-03,1.03052E+03
28,1.23672E-03,1.03040E+03
29,1.23659E-03,1.03028E+03
30,1.23646E-03,1.03015E+03
31,1.23633E-03,1.03003E+03
32,1.23620E-03,1.02990E+03
33,1.23607E-03,1.02978E+03
34,1.23594E-03,1.02966E+03
35,1.23581E-03,1.02953E+03
36,1.23568E-03,1.02941E+03
37,1.23556E-03,1.02929E+03
38,1.23543E-03,1.02916E+03
39,1.23530E-03,1.02904E+03
40,1.23517E-03,1.02892E+03
41,1.23504E-03,1.02879E+03
42,1.23491E-03,1.02867E+03
43,1.23478E-03,1.02855E+03
44,1.23465E-03,1.02842E+03
45,1.23452E-03,1.02830E+03
46,1.23439E-03,1.02818E+03
47,1.23426E-03,1.02805E+03
48,1.23413E-03,1.02793E+03
49,1.23400E-03,1.02780E+03
50,1.23387E-03,1.02768E+03
51,1.23374E-03,1.02756E+03
52,1.23361E-03,1.02743E+03
53,1.23349E-03,1.02731E+03
54,1.23336E-03,1.02719E+03
55,1.23323E-03,1.02706E+03
56,1.23310E-03,1.02694E+03
57,1.23297E-03,1.02682E+03
58,1.23284E-03,1.02669E+03
59,1.23271E-03,1.02657E+03
60,1.23258E-03,1.02645E+03
61,1.23245E-03,1.02632E+03
62,1.23232E-03,1.02620E+03
